id,created_at,text,no_of_retweets,no_of_favorite
867083950921003008,2017-05-23 18:24:58,"Good to see this man in some proper shoes! Heal up bud, gana be a great series 👊🏼
@NBCricket #ohjimmyjimmy https://t.co/DJJZeqgkNU",50,911
866354019115180035,2017-05-21 18:04:28,"Either way, this is a great final 🏆",259,1973
866350595623575552,2017-05-21 17:50:52,How did they let the required rate get that high...?,483,3266
865538804265893890,2017-05-19 12:05:06,"Almost that time again 🐅
#choberiver #tigerfish @ Chobe Safari Lodge, Kasane, Botswana, Africa https://t.co/oyLr0yQKAS",10,246
865453044552433665,2017-05-19 06:24:19,"What's happening here???!!!!!
#getryanbacktobreakfast https://t.co/Ov9YNvWeW7",19,200
865118875867807744,2017-05-18 08:16:27,"RT @joepietersen: 23 rhinos poached in 12 days in KZN 🇿🇦

Respect to everyone fighting the war on poaching.
I am in it till we reach zero c…",240,0
864449644931231744,2017-05-16 11:57:10,"Good luck to the boys as they leave for the U.K. today.
I'll definitely be watching and backing you guys all the way.
#ProteaFire 🇿🇦",160,1786
864442538127708160,2017-05-16 11:28:56,Well done on all your awards bud. Here's a picture of some puppies just to win a few more hearts 😉 https://t.co/r6zbi2tBqN,23,349
864205035382689792,2017-05-15 19:45:11,"@rajab_toffar Time for English class buddy, it's *he's * 
#dontbeanaaibekwaai",4,11
862676530211807233,2017-05-11 14:31:27,@BobSkinstad @keithroseinnes @jako_lucas Where and when we going???,1,14
862646571627941889,2017-05-11 12:32:24,"Only a pleasure guys! Congrats to the winners 👊🏼 
Good work Pete @Lombies22 
@NewBalance_SA @NBCricket https://t.co/vqNvxl9sNB",17,206
862235162981040128,2017-05-10 09:17:37,To da beach 🐕🐶 https://t.co/mVUDjLGsrI,8,338
861604253567246337,2017-05-08 15:30:36,"@Mustafiz90 @BCBtigers Go well bud! Love your stuff, will be watching with plenty interest. 👊🏼",67,537
860821153723666433,2017-05-06 11:38:50,"Just a question... What's happened to The Fizz? 
He injured? 
#IPL2017",333,2625
860185266299994114,2017-05-04 17:32:03,Crazy clean hitting! 😳,404,3395
860123566897061888,2017-05-04 13:26:53,"Step outside 🌿🏝⛰
#bali #tbt @ Bali, Indonesia https://t.co/CgoIvdHAvh",7,257
859104449587015680,2017-05-01 17:57:16,"There are some serious cricketers at the Ipl 
#stokes",542,4462
858672814538330113,2017-04-30 13:22:07,😂😂😂👌🏼👌🏼👌🏼 https://t.co/Cht3oDAQy0,31,459
858667570530070528,2017-04-30 13:01:16,"Separated at birth?
#fafzoolander https://t.co/5n19fKFrOK",88,943
858000247766777856,2017-04-28 16:49:34,RT @Cape_Leopard: Leopard killed in collision on N7 10km outside Clanwilliam. Carcass removed unlawfully. Contact us with any info https://…,29,0
856204456354091008,2017-04-23 17:53:44,"So, bowlers do still win matches 
#KKRvRCB",1804,9120
856171994886397957,2017-04-23 15:44:45,Sunday dreaming 🌍 @ Noordhoek Beach https://t.co/5jOZhSwNMw,7,202
855859319098798081,2017-04-22 19:02:17,"@robbie13flair @planko07 Back to true paradise Robbie, nothing beats Cape Town 😉",2,38
855830998809968641,2017-04-22 17:09:45,"Cheering you on from here bud! Strap those toes, vas those nipples, you'll do just fine 👊🏼🏃 https://t.co/1vA9OtV8PO",17,256
855695063036428288,2017-04-22 08:09:35,"Joe, very brave surfing in boardies! Looks lekker though https://t.co/RExCxJLUBL",10,282
855090442718892032,2017-04-20 16:07:03,"I remember touring Sri Lanka and Malinga struggled against Hash. No different today
#voodoo 
Can anyone show a stat of their battles?",360,2690
855089424618713088,2017-04-20 16:03:00,"Mighty hash.
#",311,2777
855055036153552896,2017-04-20 13:46:21,"I miss you too Bali 🏄🏝 @ Batu Bolong Beach, Canggu https://t.co/zoD0c235KN",13,267
853617435454439424,2017-04-16 14:33:50,"Stoked to see Adam Milne playing, GAS!!! https://t.co/OYHzSLkeaO",110,1839
853199245847015424,2017-04-15 10:52:06,"Two Oceans half in the bag 👊🏼
Thanx Chantel for setting the pace, 1:39 is lekker, but next year… https://t.co/mVm4s6QVla",12,313
853191227470118912,2017-04-15 10:20:14,"Completed my 1st #TwoOceans half today. Great vibe, great run! Thanx Chantel for setting the pace, stoked on 1:39 👊… https://t.co/GDTBWYfwR3",74,1253
852539135483162624,2017-04-13 15:09:03,"A visit to the Chobe would be good right now 🎣 
#nembwe #tbt @ Chobe River,Kasane ,Botswana https://t.co/tjaAHCKkRn",12,238
852533364015992832,2017-04-13 14:46:07,"JK needs his mate @markb46 at the Ipl 
Sort that fielding out quick quick",27,369
851672895516553216,2017-04-11 05:46:56,RT @RyanOConnorZA: @JohnoMeintjes setting up some leg recovery for me ahead of @OldMutualSA #omtom2017 this weekend!!! What a legend https:…,5,0
851509082997612544,2017-04-10 18:56:00,"Just catching @ABdeVilliers17 knock on highlights

Yoh! 

😳",368,3640
851090464853905414,2017-04-09 15:12:33,@kevinevansracin directions please???,2,20
850626596537085952,2017-04-08 08:29:19,"Any batting advice from me and he's bound to score a few more ducks 🙈
#bowlbutcantbatforshit https://t.co/vJeUYjUX3V",51,428
850392540801052672,2017-04-07 16:59:15,"First Ipl game in 9 years I've watched from the comfort of my couch. 
Must say, i'd rather be sweaty on the bench t… https://t.co/v4W34a9jgx",636,4841
849528549203693569,2017-04-05 07:46:04,"Some fun on the log this morning 😁
@wohza #moveslikejordy @ Batu Bolong Beach, Canggu https://t.co/Hb0TsjY6J2",15,256
848925818801844224,2017-04-03 15:51:02,"Baby snakes are just as venomous as their mama  
#babywaveswithteeth 
@wohza @RoxyDavisSurf @… https://t.co/NPLKwh54Gf",20,293
848743536346320896,2017-04-03 03:46:42,"Dr Bret removing some of Sanur's reef from my foot 
#headlamponfleek https://t.co/28fYbwVIn5",22,471
847787873063641088,2017-03-31 12:29:14,"Happy bday to this dude! Not big Mitch; the green cap wearing legend @brettsoulman 😎
Hope you… https://t.co/ZSiYyWnZOl",13,326
847445457923997696,2017-03-30 13:48:36,Obviously explains my stiff neck today 🙈 https://t.co/WZ68eibckm,17,399
846384461994512386,2017-03-27 15:32:35,"Sanur reef Bali.
Behind the lens for a change. Been surfing this beautiful reef break in Sanur,… https://t.co/fHc6czHU9G",18,376
846198875941679104,2017-03-27 03:15:08,Errday 🏄 @ Sarangan https://t.co/IgHMmY2IMn,16,162
845888579498782720,2017-03-26 06:42:07,That awkward first kiss 😘 https://t.co/wfW02LCkqL,71,1346
845584816359718912,2017-03-25 10:35:05,"Guess I'll just need to make one more SA vs India tour again 😉
#freewickets #thanxsunil https://t.co/3EgACja2k3",62,724
845461977887592448,2017-03-25 02:26:58,"This is how to start your day 🏄
Spot 2 #canggu @ Batu Bolong Beach, Canggu https://t.co/qmGAjOqysF",12,256
845034906275143680,2017-03-23 22:09:56,"@Lombies22 Took me 2 hours to catch a wave, never been that far out and in such big conditions. Picked my waves carefully, haha",3,17
844861742794473473,2017-03-23 10:41:50,"Close to my best day ever 🏄

@wohza #baliindonesia @ Ombak surf Sanur-Bali https://t.co/KV0FdkoGCs",17,295
844770053262237698,2017-03-23 04:37:30,Disgusting. https://t.co/vkXFfRQP4p,48,518
844141609394626560,2017-03-21 11:00:17,"For those that think I've miraculously recovered in time for the IPL, I haven't.

Im actually leaving for Bali today, surf trip. Peace 🏄✌🏼",281,2658
843699148306243584,2017-03-20 05:42:06,"Just as @ImIshant took a wkt I saw this pic on a old phone
Nicely done bud https://t.co/P5lPLuwYFm",677,5371
842981784535089154,2017-03-18 06:11:33,"Well done men! #ProteaFire 
And stoked for my man @mornemorkel65 , great game bud! 👊🏼",126,1096
842390395204050944,2017-03-16 15:01:35,"Saw the Doc today
Shoulders good 

Coming at ya soon.",422,3709
841236793295020035,2017-03-13 10:37:35,RT @markb46: https://t.co/UR0ge7sXlQ A must read! @KP24 @albiemorkel @DaleSteyn62,30,0
840838437200646144,2017-03-12 08:14:40,😳 https://t.co/tc3YZsJDya,22,262
840834795194241026,2017-03-12 08:00:11,RT @PicknPay: All food from today's cancelled @CTCycleTour hospitality &amp; waterpoints will be donated to #HoutBayFire victims. #CycleTour201…,1349,0
840834286416740352,2017-03-12 07:58:10,RT @ryansandes: So sad 😢😢Please see below how you can help. https://t.co/mIMYqSIEFX,20,0
840510373178544128,2017-03-11 10:31:03,"Saw the smoke coming over the mountain from Hout Bay, hope all effected by the fire are ok",55,767
839395656678653953,2017-03-08 08:41:34,RT @CorptSport: @DaleSteyn62 being his usual cool self chatting to guests at the @DellEMC Gof Day @AltronGroup Bytes SI @TimesLIVE https://…,10,0
839026481019895809,2017-03-07 08:14:36,Love Virat's aggression. Imagine if he was a fast bowler 😳,7352,20508
838086927333089280,2017-03-04 18:01:09,@SurferBuzz perfect,9,68
838079699557498880,2017-03-04 17:32:25,"@SurferBuzz Post the type/colour of car and license plate number bud, let's see if people have spotted it",3,33
838071507792297985,2017-03-04 16:59:52,"Beach strolls 
#sadi #chobe 🐕 @ Long Beach Kommetjie https://t.co/y7w0VpDUDR",18,243
837982073411481600,2017-03-04 11:04:29,"RT @AaronFinch5: C'mon @Roz_Kelly, slow down!! 😂😂😂 https://t.co/zmlU7W5zP6",21,0
837925099072327680,2017-03-04 07:18:06,"Well done men 👊🏼
#ProteaFire",110,933
837923970729005056,2017-03-04 07:13:37,Lefty to lefty... Miller time,60,613
837922716615331840,2017-03-04 07:08:38,"Straight drive pull for 4 to double step ge bliksem for 6!
Miller you beast",91,752
837259862954377217,2017-03-02 11:14:41,"Over cleaning house, thrown my toys and I'm taking myself to the beach. 🏄",46,821
836942216740409345,2017-03-01 14:12:28,That action looks rather suspect...,26,590
836892216379523072,2017-03-01 10:53:47,"I have no words 🙈
#Chobe #proudpooch https://t.co/zV86iu8vpO",20,293
836822718708396033,2017-03-01 06:17:38,Wednesday https://t.co/UXfdlTRJHX,33,790
836321707950497793,2017-02-27 21:06:47,"How's that Oscars f#*k up... 
YOH yoh yoh",41,676
836091454439161856,2017-02-27 05:51:51,Morning convo with @BrettSoulman https://t.co/IUGCZvOtPY,18,299
836090235901607936,2017-02-27 05:47:00,Kelly Slater just made and ruined my Monday,23,335
835798179610300416,2017-02-26 10:26:29,How's everyone's weekend?,63,1262
835395033750700032,2017-02-25 07:44:31,Well played Proteas 👊🏼,235,2224
834708132249100288,2017-02-23 10:15:01,"Umesh at it again 
#skiddygas",391,2073
834682649906130944,2017-02-23 08:33:46,"Good times. (1998-2001) 
marlondutoit bret_bargiacchi 
#tbt https://t.co/Df6AZQMvnn",17,142
833650384187056128,2017-02-20 12:11:54,Plenty hours spent on strategies going into IPL auction &amp; interesting watching it unfold. Always tough for those not bought... Stay strong!,242,1691
833575468779593730,2017-02-20 07:14:13,Monday. 🤘🏼🖕🏼 https://t.co/FctCGeUp4W,27,375
833048292078530560,2017-02-18 20:19:24,Nice Craig! 👊🏼👌🏼 https://t.co/xV5aGojjR6,22,197
832247590318141440,2017-02-16 15:17:42,"Waves today 🏄

😃",40,732
831385364178796544,2017-02-14 06:11:31,RT @jackrussellart: @MarkWallace18 congrats on a fine career with @GlamCricket Top cricketer top man Good luck with everything you do. Jack…,8,0
830328267139854336,2017-02-11 08:11:00,#ProteaFire 💥,56,523
830012132695613440,2017-02-10 11:14:47,"Please no one disturb me, I'm doing the dishes.",113,1396
829995580235608064,2017-02-10 10:09:01,Happy bday Mac! Have a jol bud and love to the fam https://t.co/ieshOXfHUS,17,277
829646971178713088,2017-02-09 11:03:46,Take me back to the Chobe 🎣 https://t.co/yTXkhGcplA,22,186
829599884835713024,2017-02-09 07:56:40,"RT @KP24: I RT'd that video a couple days ago of that savage attack on, Vrystaat. Here she is getting fantastic treatment from @SavingSurvi…",95,0
829047339637735424,2017-02-07 19:21:03,"13 in a row. Pretty special 
@OfficialCSA #proteafire",153,820
828992436013666304,2017-02-07 15:42:53,Bliksem Faf! That was proper 👊🏼#185 @faf1307,68,423
828914444386369536,2017-02-07 10:32:58,Look at what people do. This is just disgusting. Human greed. This animal knows nothing of it and wears the scar fo… https://t.co/7OZHiGXqVB,247,559
828688302203142144,2017-02-06 19:34:22,"Happy bday Ma 
Anyone that knows my gran will agree she's a legend. Please send the legend a… https://t.co/UN9ikEYaoh",35,407
